"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0.52,11.73
"2p",100,0,0,0
"3p",29.29,0,0,6.84
"4p",0,0,0,14.23
"5p",99.64,0,0,0
"6p",0,0,0,0
"7p",100,0,0,0
"8p",0,0,0,0
"9p",0,0,0,20.54
"10p",0,0,0,8.85
"11p",0,0,0,0
"12p",0,0,0,0
"16p",0,0,0,21.95
"17p",0,0,69.06,14.61
"18p",0,0,0,0
"19p",96.5,0,0,10.96
"20p",96.6,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",93.42,0,0,0
"2q",99.92,0,0,1.92
"3q",12.71,0,0,0
"4q",0.2,0,0.34,13.64
"5q",0,0,0,0
"6q",0,0,36.28,2.71
"7q",100,0,0,2.57
"8q",0,0,0,0
"9q",0,0,0,26.41
"10q",22.86,0,0,6.86
"11q",3.91,0,0,4.35
"12q",0,0,0,0
"13q",95.1,0,0,7.12
"14q",0,0,0,20.55
"15q",0,0,4.99,25.42
"16q",0,0,1.38,10.75
"17q",39.58,0,0,0
"18q",0,0,0,0
"19q",98.56,0,0,0
"20q",90.53,0,0,0
"21q",95.71,0,0,0
"22q",98.4,0,0.12,0
"Yq",0,0,0,0
"Xq",19.92,0,0,0
