"","GAIN","AMPLI","LOSS","LOH"
"1p",56.89,0,1.64,24.97
"2p",100,0,0,66.92
"3p",1.93,0,91.03,0
"4p",0,0,68.38,0
"5p",99.94,0,0,0
"6p",2.21,0,55.1,0
"7p",0.24,0,99.75,0
"8p",5.35,0,94.1,0
"9p",0,0,100,0
"10p",43.99,0,2.9,0
"11p",0,0,58.24,0
"12p",96.89,0,0,0
"16p",26.64,0,65.93,0
"17p",1.27,0,80.1,0
"18p",100,0,0,0
"19p",0.95,0,1.74,0
"20p",37.92,0,2.96,9.9
"21p",0,0,85.12,0
"Yp",91.8,0,3.78,0
"Xp",4.3,0,0,0
"1q",39.76,0,1.91,0
"2q",55.22,0,1.17,0
"3q",85.38,0,0,0
"4q",17.39,0,79.27,0
"5q",4.72,0,61.31,33.37
"6q",100,0,0,0
"7q",42.09,0,47.7,0
"8q",90.72,0,0,0
"9q",0,0,98.54,0
"10q",0,0,97.99,0
"11q",86.79,0,0,0
"12q",86.11,0,0,0
"13q",0,0,99.34,0
"14q",88.08,0,0.23,0
"15q",61.03,0,0,0
"16q",58.33,0,13.31,68.13
"17q",18.08,0,31.34,66.43
"18q",2.95,0,96.84,0
"19q",12.86,0,0,0
"20q",12.01,0,5.92,77.1
"21q",0,0,98.01,0
"22q",64.08,0,0.12,0
"Yq",0,0,100,0
"Xq",7.79,0,0.26,0
