File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H18013536_B.OSCHP	5.0	Gain	1	p35.3	339.852	29	4	SRSF4, MECR, PTPRU, LINC01756	3	SRSF4 (601940), MECR (608205), PTPRU (602454)	Cytoregions Not Set				false	arr[hg19] 1p35.3(29,491,087-29,830,939)x5	chr1:29491087-29830939
H18013536_B.OSCHP	4.0	Gain	14	q23.2	51.752	21	3	HIF1A-AS1, HIF1A, LOC105370526	2	HIF1A-AS1 (614528), HIF1A (603348)	Cytoregions Not Set				false	arr[hg19] 14q23.2(62,161,308-62,213,060)x4	chr14:62161308-62213060
H18013536_B.OSCHP	3.0	Gain	1	q43	10791.351	903	106	LINC01139, CHRM3, CHRM3-AS2, CHRM3-AS1, RPS7P5, FMN2, MIR1273E, GREM2, RGS7, MIR3123, FH, KMO, OPN3, CHML, WDR64, EXO1, BECN2, MAP1LC3C, PLD5, LINC01347, CEP170, SDCCAG8, MIR4677, AKT3, LOC339529, ZBTB18, C1orf100, ADSS, CATSPERE, DESI2, COX20, HNRNPU, SNORA100, LOC101928068, EFCAB2, KIF26B, SMYD3, LINC01743, TFB2M, CNST, SCCPDH, LINC01341, AHCTF1, ZNF695, ZNF670-ZNF695, ZNF670, ZNF669, FLJ39095, C1orf229, ZNF124, MIR3916, VN1R5, ZNF496, NLRP3, OR2B11, OR2W5, GCSAML, GCSAML-AS1, OR2C3, OR2G2, OR2G3, OR13G1, OR6F1, OR1C1, OR14A16, OR11L1, TRIM58, OR2W3, OR2T8, OR2L13, OR2L8, OR2AK2, OR2L1P, OR2L5, OR2L2, OR2L3, OR2M1P, OR2M5, OR2M2, OR2M3, OR2M4, OR2T33, OR2T12, OR2M7, OR14C36, OR2T4, OR2T6, OR2T1, OR2T2, OR2T3, OR2T5, OR2G6, OR2T29, OR2T34, OR2T10, OR2T11, OR2T35, OR2T27, OR14I1, LOC101928226, LYPD8, SH3BP5L, MIR3124, ZNF672, ZNF692, PGBD2	32	CHRM3 (118494), FMN2 (606373), GREM2 (608832), RGS7 (602517), FH (136850), KMO (603538), OPN3 (606695), CHML (118825), EXO1 (606063), BECN2 (615687), MAP1LC3C (609605), CEP170 (613023), SDCCAG8 (613524), AKT3 (611223), ZBTB18 (608433), ADSS (103060), CATSPERE (617510), DESI2 (614638), COX20 (614698), HNRNPU (602869), KIF26B (614026), SMYD3 (608783), TFB2M (607055), CNST (613439), AHCTF1 (610853), ZNF695 (616348), ZNF124 (194631), ZNF496 (613911), NLRP3 (606416), OR13G1 (611677), OR2W3 (616729), LYPD8 (617067)	Cytoregions Not Set				false	arr[hg19] 1q43q44(238,421,527-249,212,878)x3	chr1:238421527-249212878
H18013536_B.OSCHP	3.0	Gain	1	p21.3	230.892	22	2	DPYD, DPYD-AS2	1	DPYD (612779)	Cytoregions Not Set				false	arr[hg19] 1p21.3(98,105,437-98,336,329)x3	chr1:98105437-98336329
H18013536_B.OSCHP	3.0	Gain	11	q22.3	271.578	19	9	CASP12, LOC643733, CASP4, CASP5, CASP1, CARD16, CASP1P2, CARD17, CARD18	7	CASP12 (608633), CASP4 (602664), CASP5 (602665), CASP1 (147678), CARD16 (615680), CARD17 (609490), CARD18 (605354)	Cytoregions Not Set				false	arr[hg19] 11q22.3(104,745,329-105,016,907)x3	chr11:104745329-105016907
H18013536_B.OSCHP	3.0	Gain	11	q13.1	238.742	18	6	PACS1, KLC2, RAB1B, CNIH2, YIF1A, TMEM151A	5	PACS1 (607492), KLC2 (611729), RAB1B (612565), CNIH2 (611288), YIF1A (611484)	Cytoregions Not Set				false	arr[hg19] 11q13.1q13.2(65,836,402-66,075,144)x3	chr11:65836402-66075144
H18013536_B.OSCHP	3.0	Gain	11	q13.2	270.344	19	9	RBM14, RBM14-RBM4, RBM4, RBM4B, SPTBN2, C11orf80, RCE1, PC, LRFN4	7	RBM14 (612409), RBM4 (602571), SPTBN2 (604985), C11orf80 (616109), RCE1 (605385), PC (608786), LRFN4 (612810)	Cytoregions Not Set				false	arr[hg19] 11q13.2(66,374,910-66,645,254)x3	chr11:66374910-66645254
H18013536_B.OSCHP	3.0	Gain	11	q13.3	28.443	41	1	ORAOV1	1	ORAOV1 (607224)	Cytoregions Not Set				false	arr[hg19] 11q13.3(69,483,009-69,511,452)x3	chr11:69483009-69511452
H18013536_B.OSCHP	3.0	Gain	11	q22.1	252.044	19	1	CNTN5	1	CNTN5 (607219)	Cytoregions Not Set				false	arr[hg19] 11q22.1(99,828,352-100,080,396)x3	chr11:99828352-100080396
H18013536_B.OSCHP	3.0	Gain	12	q21.32	250.945	19	0		0		Cytoregions Not Set				false	arr[hg19] 12q21.32q21.33(88,980,542-89,231,487)x3	chr12:88980542-89231487
H18013536_B.OSCHP	3.0	Gain	14	q11.2	163.58	21	11	TTC5, CCNB1IP1, SNORA79B, SNORD126, RPPH1, PARP2, TEP1, KLHL33, OSGEP, APEX1, TMEM55B	7	CCNB1IP1 (608249), RPPH1 (608513), PARP2 (607725), TEP1 (601686), OSGEP (610107), APEX1 (107748), PIP4P1 (609865)	Cytoregions Not Set				false	arr[hg19] 14q11.2(20,770,035-20,933,615)x3	chr14:20770035-20933615
