"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,0,0
"2p",0.63,0,0,0
"3p",0.39,0,0.42,100
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,0,6.04
"7p",100,0,0,0
"8p",99.61,0,0,0
"9p",0,0,0,82.95
"10p",0,0,0,0
"11p",0,0,0,0
"12p",0,0,0,99.63
"16p",0,0,0,7.43
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",100,0,1.16,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",4.3,0,0,0
"1q",2.05,0,0.34,0
"2q",18.76,0,5.67,0
"3q",0,0,0,100
"4q",0.39,0,0,0
"5q",0,0,0.24,0
"6q",0,0,0.37,0
"7q",100,0,0,0
"8q",99.53,0,0,0
"9q",0,0,0,96.12
"10q",0,0,0,3.18
"11q",0,0,0,0
"12q",0,0,0.51,0
"13q",1.16,0,0,0
"14q",0,0,0.37,0
"15q",0,0,0,0
"16q",0,0,0,0
"17q",0,0,0,0
"18q",0,0,0,0
"19q",0,0,0,0
"20q",100,0,0,0
"21q",0,0,100,0
"22q",1.11,0,0,10.22
"Yq",0,0,0,0
"Xq",0,0,0,0
