"","GAIN","AMPLI","LOSS","LOH"
"1p",0.71,0,0,0
"2p",0,0,0,0
"3p",5.6,0,0,0
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,82.67,0
"7p",3.19,0,0,0
"8p",2.31,0,62.95,14.54
"9p",0,0,12.92,0
"10p",0,0,0,0
"11p",0,0,0,0
"12p",0,0,0,0
"16p",0,0,0,7.52
"17p",0,0,83.5,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",26.98,0,19.83,15.97
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,4.47
"1q",0,0,0,0
"2q",0.38,0,0,0
"3q",0,0,0,0
"4q",0.5,0,0,0
"5q",0,0,10.94,9.28
"6q",0,0,57.26,0
"7q",0.3,0,0,0
"8q",99.05,0,0,0
"9q",3.61,0,0,0
"10q",2.26,0,0,0
"11q",0,0,0,0
"12q",0,0,0,9.22
"13q",98.55,0,0,0
"14q",0,0,0,0
"15q",5.08,0,46.53,0
"16q",0.59,0,0,0
"17q",6.33,0,30.83,0
"18q",0,0,41.53,14.43
"19q",0.89,0,0,0
"20q",97.85,0,0,0
"21q",0,0,42.69,0
"22q",17.18,0,19.12,19.95
"Yq",0,0,0,0
"Xq",0.45,0,0,5.42
