"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,99.93,0
"2p",100,0,0,0
"3p",0,0,0,100
"4p",0,0,0,100
"5p",99.94,0,0,0
"6p",97.62,0,0,0
"7p",9.74,0,0,0
"8p",0,0,0,99.57
"9p",0,0,0,0
"10p",98.36,0,0,0
"11p",0,0,0,100
"12p",99.7,0,0,99.63
"16p",0,0,0,100
"17p",0,0,17.75,99.89
"18p",0,0,100,99.9
"19p",94.04,0,0,0
"20p",100,0,0,0
"21p",0,0,0,0
"Yp",99.93,0,0,0
"Xp",0,0,0,0
"1q",98.13,0,0,0
"2q",100,0,0,0
"3q",0,0,0,100
"4q",0,0,0,99.92
"5q",100,0,0,4.55
"6q",0,0,0,100
"7q",0,0,0,8.75
"8q",0,0,0,100
"9q",0,0,0,0
"10q",100,0,0,6.11
"11q",0,0,0,100
"12q",100,0,0,99.97
"13q",0,0,0,100
"14q",0,0,0,98.92
"15q",0,0,99.79,0
"16q",0,0,0,100
"17q",0,0,0,100
"18q",0,0,99.99,0
"19q",100,0,0,0
"20q",84.52,0,0,17.29
"21q",0,0,0,100
"22q",100,0,0,0
"Yq",100,0,0,0
"Xq",0,0,0,0
