"","GAIN","AMPLI","LOSS","LOH"
"1p",0.07,0,22.54,5.78
"2p",100,0,0,0
"3p",48.75,0,0,6.84
"4p",0,0,0,100
"5p",99.9,0,0,0
"6p",54.46,0,0,0
"7p",100,0,0,0
"8p",0,0,0,0
"9p",0.56,0,0.59,82.95
"10p",71.58,0,0,8.71
"11p",0,0,0,100
"12p",0,0,0,0
"16p",4.08,0,0,20.69
"17p",15.23,0,62.59,0
"18p",0,0,0,0
"19p",25.66,0,0,0
"20p",85.89,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,99.93,0
"Xp",4.25,0,0,0
"1q",100,0,0,0
"2q",100,0,0,1.87
"3q",100,0,0,0
"4q",0.5,0,0,44.98
"5q",0,0,0,0
"6q",0,0,40.12,0
"7q",100,0,0,2.71
"8q",0,0,0,0
"9q",0,0,0.44,47.67
"10q",100,0,0,3.32
"11q",0,0,0,100
"12q",0,0,0,0
"13q",59.06,0,0,15.33
"14q",0,0,0,40.38
"15q",0,0,2.74,96.65
"16q",14.36,0,0,41.63
"17q",100,0,0,0
"18q",0,0,2.45,0
"19q",100,0,0,0
"20q",100,0,0,0
"21q",100,0,0,0
"22q",100,0,0.12,0
"Yq",0,0,100,0
"Xq",0,0,0.26,0
