"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,99.93,0
"2p",100,0,0,0
"3p",0,0,0,100
"4p",0,0,0,100
"5p",99.94,0,0,0
"6p",49.77,0,0,0
"7p",9.74,0,0,0
"8p",0,0,0,81.47
"9p",0,0,0,0
"10p",98.36,0,0,0
"11p",0,0,0,100
"12p",99.7,0,0,36.58
"16p",0,0,0,100
"17p",0,0,17.75,99.89
"18p",0,0,100,99.9
"19p",58.01,0,0,0
"20p",55.15,0,0,0
"21p",0,0,0,0
"Yp",99.93,0,0,0
"Xp",0,0,0,0
"1q",98.13,0,0,0
"2q",83.67,0,0,0
"3q",0,0,0,100
"4q",0,0,0,99.92
"5q",62.45,0,0,4.55
"6q",0,0,0,100
"7q",0,0,0,8.75
"8q",0,0,0,100
"9q",0,0,0,0
"10q",87.15,0,0,6.11
"11q",0,0,0,100
"12q",100,0,0,50.88
"13q",0,0,0,100
"14q",0,0,0,98.92
"15q",0,0,54.28,0
"16q",0,0,0,100
"17q",0,0,0,100
"18q",0,0,99.99,0
"19q",100,0,0,0
"20q",84.52,0,0,17.29
"21q",0,0,0,100
"22q",58.34,0,0,0
"Yq",100,0,0,0
"Xq",0,0,0,0
