"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,54.88,0
"2p",0.21,0,0,0
"3p",0,0,8.77,0
"4p",0,0,96.53,0
"5p",85.57,0,0,0
"6p",0,0,100,0
"7p",0,0,88.96,0
"8p",0,0,18.64,0
"9p",0,0,82.95,0
"10p",0,0,100,0
"11p",0,0,1.87,100
"12p",0,0,99.7,0
"16p",0,0,91.04,0
"17p",0,0,100,0
"18p",0,0,0,0
"19p",0,0,72.96,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,87.79,0
"2q",0,0,0,0
"3q",0,0,10.41,0
"4q",0,0,99.92,0
"5q",100,0,0,0
"6q",0,0,100,0
"7q",0,0,44.07,0
"8q",0,0,1.11,0
"9q",0,0,0.62,0
"10q",0,0,100,0
"11q",0,0,96.45,0
"12q",0,0,100,0
"13q",0,0,100,0
"14q",0,0,98.92,0
"15q",0,0,63.53,0
"16q",0,0,99.2,0
"17q",0.48,0,21.22,0
"18q",0.5,0,1.54,0
"19q",0,0,100,0
"20q",5.55,0,0.91,0
"21q",0.77,0,0,0
"22q",1.67,0,0,0
"Yq",32.14,0,0,0
"Xq",0,0,0.29,0
