"","GAIN","AMPLI","LOSS","LOH"
"1p",59.77,0,0.25,2.4
"2p",96.92,0,0,0
"3p",42.14,0,1.71,100
"4p",100,0,0,6.07
"5p",99.94,0,0,0
"6p",0,0,62.38,0
"7p",100,0,0,0
"8p",0,0,64.62,0
"9p",100,0,0,0
"10p",100,0,0,0
"11p",25.52,0,73.2,0
"12p",99.42,0,0,0
"16p",96.23,0,3.05,11.69
"17p",100,0,0,15.06
"18p",0,0,100,0
"19p",100,0,0,0
"20p",100,0,0,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",100,0,0,0
"1q",100,0,0,2.58
"2q",99.93,0,0,0
"3q",32.09,0,9.8,100
"4q",99.92,0,0,0
"5q",100,0,0,0
"6q",0,0,100,0
"7q",100,0,0,4.37
"8q",38.92,0,0.04,0
"9q",99.98,0,0,0
"10q",100,0,0,0
"11q",4.3,0,75.55,6.2
"12q",99.57,0,0,0
"13q",100,0,0,0
"14q",37.85,0,50.14,0
"15q",58.3,0,41.15,4.15
"16q",5.86,0,24.33,0
"17q",100,0,0,0
"18q",0,0,99.29,0
"19q",100,0,0,0
"20q",57.89,0,0,0
"21q",0,0,99.68,0
"22q",0,0,0.12,0
"Yq",0,0,0,0
"Xq",71.27,0,0,3.48
