CHR,GAIN,AMPLI,LOSS,LOH
1p,0,0,0,0
2p,0,0,0,3.66
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,0
7p,0,0,0,0
8p,0,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,0
16p,0,0,0,9.4
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,5.56
1q,0,0,0,0
2q,0,0,0,0
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,0,0
6q,0,0,0,0
7q,0,0,0,0
8q,0,0,0,0
9q,0,0,0,0
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,0,0,0,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,0,5.6
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0,0,0,11.44
1p,0.31,0,0.25,0
2p,0,0,0,0
3p,4.74,0,0,3.67
4p,0,0,0,5.21
5p,0,0,0,0
6p,0,0,0,0
7p,96.85,0,0,0
8p,99.66,0,0,0
9p,100,0,0,0
10p,0,0,0,0
11p,0,0,4.67,100
12p,98.82,0,0,0
16p,92.42,0,0,0
17p,100,0,0,0
18p,100,0,0,0
19p,100,0,0,0
20p,100,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,4.3,0
1q,0,0,0,0
2q,0,0,0,0
3q,0,0,0,0
4q,0,0,0.25,0
5q,0,0,6.27,0
6q,0,0,0,0
7q,100,0,0,2.76
8q,100,0,0,0
9q,99.98,0,0,0
10q,0,0,0,0
11q,0,0,1.11,100
12q,100,0,0,0
13q,100,0,0,0
14q,0,0,0,0
15q,0,0,0,0
16q,100,0,0,0
17q,100,0,0,0
18q,99.99,0,0,0
19q,100,0,0,0
20q,100,0,0,0
21q,1.04,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,100,0,0,0
2p,100,0,0,0
3p,0,0,0,0
4p,100,0,0,0
5p,99.94,0,0,0
6p,100,0,0,0
7p,100,0,0,0
8p,99.66,0,0,0
9p,100,0,0,0
10p,100,0,0,0
11p,100,0,0,0
12p,99.7,0,0,0
16p,100,0,0,11.64
17p,100,0,0,0
18p,100,0,0,0
19p,100,0,0,0
20p,100,0,0,0
21p,0,0,85.12,0
Yp,0,0,0,0
Xp,100,0,0,12.34
1q,100,0,0,0
2q,100,0,0,1.82
3q,0,0,0,0
4q,99.92,0,0,0
5q,100,0,0,0
6q,100,0,0,0
7q,100,0,0,0
8q,97.85,0,2.5,0
9q,99.63,0,0,0
10q,100,0,0,0
11q,100,0,0,0
12q,100,0,0,0
13q,100,0,0,0
14q,98.34,0,0,0
15q,0,0,0.39,3.48
16q,100,0,0,0
17q,100,0,0,0
18q,99.99,0,0,0
19q,100,0,0,0
20q,100,0,0,0
21q,0,0,1.43,0
22q,1.08,0,0,0
Yq,0,0,0,0
Xq,100,0,0,13.23
1p,0.28,0,0,0
2p,100,0,0,0
3p,0.35,0,0,0
4p,100,0,0,0
5p,0,0,0,0
6p,100,0,0,0
7p,0,0,0,0
8p,99.61,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,100,0,0,10.19
12p,99.7,0,0,0
16p,0,0,3.05,11.05
17p,0,0,0,0
18p,100,0,0,0
19p,100,0,0,0
20p,100,0,0,0
21p,85.12,0,0,0
Yp,0,0,0,0
Xp,100,0,0,4.41
1q,99.17,0,0,0
2q,100,0,0,2.03
3q,0,0,0,0
4q,99.92,0,0,0
5q,0,0,0,2.72
6q,100,0,0,0
7q,0,0,0,0
8q,100,0,0,0
9q,0,0,0,0
10q,0.71,0,0,0
11q,100,0,0,3.17
12q,100,0,0,0
13q,100,0,0,0
14q,0,0,0,0
15q,0,0,0,0
16q,0,0,100,0
17q,0,0,0,0
18q,99.99,0,0,0
19q,100,0,0,0
20q,100,0,0,0
21q,100,0,0,0
22q,1.05,0,0,0
Yq,0,0,0,0
Xq,100,0,0,5.46
1p,0,0,0,0
2p,0,0,0,4.66
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,9.88
7p,0,0,0,0
8p,0.73,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,5.45
12p,0,0,0,0
16p,0,0,0,13.38
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,2.54
2q,0,0,0,3.53
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,0,0
6q,0,0,0,0
7q,0,0,9.3,13.2
8q,0,0,0,0
9q,0,0,0,0
