"","GAIN","AMPLI","LOSS","LOH"
"1p",0.19,0,10.25,0
"2p",0.05,0,0,0
"3p",22.06,0,19.35,0
"4p",0,0,0,0
"5p",30.7,0,0,0
"6p",0.82,0,43.68,0
"7p",0,0,0.45,0
"8p",1.16,0,98.3,15.61
"9p",0,0,95.1,0
"10p",0,0,0.42,0
"11p",30.01,0,0,0
"12p",0.18,0,10.22,0
"16p",5.85,0,0.9,9.66
"17p",0,0,99.89,0
"18p",0,0,0,0
"19p",1.3,0,0.7,0
"20p",1.06,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,4.3,0
"1q",14.11,0,1.34,0
"2q",0.59,0,0.2,1.82
"3q",89.34,0,0,0
"4q",0.28,0,0,0
"5q",0,0,100,0
"6q",0.24,0,11.47,0
"7q",0,0,3.5,0
"8q",31.12,0,0,0
"9q",12.75,0,0.43,0
"10q",0.29,0,15.29,0
"11q",28.96,0,0,61.24
"12q",11.49,0,0.27,0
"13q",0.2,0,10.86,0
"14q",0,0,0.28,0
"15q",39.49,0,3.75,0
"16q",0.33,0,0.67,0
"17q",100,0,0,4.63
"18q",0,0,99.28,0
"19q",0,0,98.72,0
"20q",0.13,0,16.3,0
"21q",0,0,0,0
"22q",93.24,0,47.05,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
