File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H18012801B.OSCHP	3.0	Gain	11	q13.3	3.172	4	1	CCND1	1	CCND1 (168461)	Cytoregions Not Set				false	arr[hg19] 11q13.3(69,463,790-69,466,962)x3	chr11:69463790-69466962
H18012801B.OSCHP	3.0	Gain	6	p21.32	162.419	24	3	NOTCH4, LOC101929163, C6orf10	1	NOTCH4 (164951)	Cytoregions Not Set				false	arr[hg19] 6p21.32(32,177,817-32,340,236)x3	chr6:32177817-32340236
H18012801B.OSCHP	3.0	Gain	6	q15	320.624	22	2	GJA10, BACH2	2	GJA10 (611924), BACH2 (605394)	Cytoregions Not Set				false	arr[hg19] 6q15(90,584,423-90,905,047)x3	chr6:90584423-90905047
H18012801B.OSCHP	3.0	Gain	8	q11.1	562.224	38	1	ASNSP1	0		Cytoregions Not Set				false	arr[hg19] 8q11.1(46,966,728-47,528,952)x3	chr8:46966728-47528952
H18012801B.OSCHP	2.67	Gain	1	q21.2	811.903	19	24	NBPF25P, FAM231D, LOC388692, LOC100996741, FCGR1CP, RNVU1-19, PPIAL4A, PPIAL4C, LINC00623, LINC00869, LOC103091866, RNVU1-20, LOC101929798, HIST2H2BF, FCGR1A, HIST2H3D, HIST2H4B, HIST2H4A, HIST2H3A, HIST2H3C, HIST2H2AA4, HIST2H2AA3, HIST2H2BC, HIST2H2BE	6	FCGR1CP (601503), FCGR1A (146760), HIST2H4A (142750), HIST2H3C (142780), HIST2H2AA3 (142720), HIST2H2BE (601831)	Cytoregions Not Set				false	arr[hg19] 1q21.2(149,044,447-149,856,350)x2-3	chr1:149044447-149856350
H18012801B.OSCHP	2.67	Gain	1	p36.13	47.062	20	1	ARHGEF10L	1	ARHGEF10L (612494)	Cytoregions Not Set				false	arr[hg19] 1p36.13(17,869,320-17,916,382)x2-3	chr1:17869320-17916382
H18012801B.OSCHP	2.67	Gain	10	q21.3	258.129	18	0		0		Cytoregions Not Set				false	arr[hg19] 10q21.3(64,601,434-64,859,563)x2-3	chr10:64601434-64859563
H18012801B.OSCHP	2.67	Gain	13	q14.2	67.413	69	1	RB1	1	RB1 (614041)	Cytoregions Not Set				false	arr[hg19] 13q14.2(48,896,852-48,964,265)x2-3	chr13:48896852-48964265
H18012801B.OSCHP	2.67	Gain	14	q32.31	255.041	18	43	MIR299, MIR380, MIR1197, MIR323A, MIR758, MIR329-1, MIR329-2, MIR494, MIR1193, MIR543, MIR495, MIR376C, MIR376A2, MIR654, MIR376B, MIR376A1, MIR300, MIR1185-1, MIR1185-2, MIR381HG, MIR381, MIR487B, MIR539, MIR889, MIR544A, MIR655, MIR487A, MIR382, MIR134, MIR668, MIR485, MIR323B, MIR154, MIR496, MIR377, MIR541, MIR409, MIR412, MIR369, MIR410, MIR656, MEG9, LINC02285	14	MIR380 (613654), MIR494 (616036), MIR495 (615149), MIR376C (610983), MIR376A2 (610960), MIR376B (610961), MIR376A1 (610959), MIR487B (615037), MIR134 (610164), MIR485 (615385), MIR409 (614057), MIR369 (611794), MIR410 (615036), MIR656 (616376)	Cytoregions Not Set				false	arr[hg19] 14q32.31(101,489,857-101,744,898)x2-3	chr14:101489857-101744898
H18012801B.OSCHP	2.67	Gain	14	q32.33	239.03	48	3	MIR8071-2, MIR8071-1, ELK2AP	0		Cytoregions Not Set				false	arr[hg19] 14q32.33(106,057,564-106,296,594)x2-3	chr14:106057564-106296594
H18012801B.OSCHP	2.67	Gain	14	q11.2	73.179	18	0		0		Cytoregions Not Set				false	arr[hg19] 14q11.2(22,668,927-22,742,106)x2-3	chr14:22668927-22742106
H18012801B.OSCHP	2.67	Gain	16	q13	371.393	26	10	NLRC5, CPNE2, FAM192A, RSPRY1, ARL2BP, PLLP, CCL22, CX3CL1, CCL17, CIAPIN1	9	NLRC5 (613537), CPNE2 (604206), RSPRY1 (616585), ARL2BP (615407), PLLP (600340), CCL22 (602957), CX3CL1 (601880), CCL17 (601520), CIAPIN1 (608943)	Cytoregions Not Set				false	arr[hg19] 16q13q21(57,103,578-57,474,971)x2-3	chr16:57103578-57474971
H18012801B.OSCHP	2.67	Gain	2	p24.2	145.236	40	2	SMC6, GEN1	2	SMC6 (609387), GEN1 (612449)	Cytoregions Not Set				false	arr[hg19] 2p24.2(17,845,295-17,990,531)x2-3	chr2:17845295-17990531
H18012801B.OSCHP	2.67	Gain	2	q37.3	550.77	38	4	TRAF3IP1, ASB1, LINC01107, TWIST2	3	TRAF3IP1 (607380), ASB1 (605758), TWIST2 (607556)	Cytoregions Not Set				false	arr[hg19] 2q37.3(239,215,407-239,766,177)x2-3	chr2:239215407-239766177
H18012801B.OSCHP	2.67	Gain	2	p11.2	84.326	18	0		0		Cytoregions Not Set				false	arr[hg19] 2p11.2(89,160,444-89,244,770)x2-3	chr2:89160444-89244770
H18012801B.OSCHP	2.67	Gain	21	q21.3	257.477	18	1	LINC01695	0		Cytoregions Not Set				false	arr[hg19] 21q21.3(29,564,053-29,821,530)x2-3	chr21:29564053-29821530
H18012801B.OSCHP	2.67	Gain	3	p21.31	386.179	32	12	ALS2CL, TMIE, PRSS50, PRSS46, PRSS45, PRSS42, MYL3, PTH1R, CCDC12, NBEAL2, NRADDP, SETD2	7	ALS2CL (612402), TMIE (607237), PRSS50 (607950), MYL3 (160790), PTH1R (168468), NBEAL2 (614169), SETD2 (612778)	Cytoregions Not Set				false	arr[hg19] 3p21.31(46,711,806-47,097,985)x2-3	chr3:46711806-47097985
H18012801B.OSCHP	2.67	Gain	3	p13	10.871	18	1	MITF	1	MITF (156845)	Cytoregions Not Set				false	arr[hg19] 3p13(69,927,381-69,938,252)x2-3	chr3:69927381-69938252
H18012801B.OSCHP	2.67	Gain	4	q24	376.018	23	0		0		Cytoregions Not Set				false	arr[hg19] 4q24(104,855,553-105,231,571)x2-3	chr4:104855553-105231571
