"","GAIN","AMPLI","LOSS","LOH"
"1p",0.25,0,0,3.84
"2p",0.25,0,0.93,6.1
"3p",9.88,0,0,3.77
"4p",0.65,0,0,10.47
"5p",0,0,0,0
"6p",44.46,0,0,11.25
"7p",28.12,0,0,0
"8p",6.28,0,0.61,9.87
"9p",0,0,62.13,0
"10p",0,0,0,0
"11p",2.55,0,0,7.87
"12p",0,0,0,0
"16p",0,0,0,0
"17p",0,0,1.24,0
"18p",0,0,0,0
"19p",1.25,0,3.99,15.06
"20p",0.6,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",6.24,0,0,5.72
"2q",0.53,0,0,0
"3q",0.26,0,0.82,0
"4q",4.53,0,0,4.07
"5q",0.29,0,0,5.24
"6q",0.68,0,0,0
"7q",80.54,0,0,9.05
"8q",87.68,0,0,0
"9q",1.34,0,0,0
"10q",0.28,0,0,3.65
"11q",0,0,0,3.15
"12q",1.76,0,0.3,6.31
"13q",0.58,0,0.62,0
"14q",90.96,0,0,0
"15q",0.62,0,0,3.4
"16q",0.85,0,0.45,12.68
"17q",0,0,2.28,7
"18q",0,0,0,0
"19q",0,0,0.8,8.05
"20q",0,0,0,0
"21q",0.76,0,0,0
"22q",8.1,0,0.14,0
"Yq",0,0,0,0
"Xq",0,0,0.26,0
