"","GAIN","AMPLI","LOSS","LOH"
"1p",40.1,0,59.86,40.32
"2p",0,0,88.46,0
"3p",0,0,0,3.33
"4p",100,0,0,0
"5p",99.94,0,0,0
"6p",0,0,49.2,0
"7p",100,0,0,0
"8p",0,0,99.66,0
"9p",100,0,0,27.93
"10p",0,0,100,0
"11p",16.5,0,53.06,0
"12p",0,0,0,0
"16p",0.92,0,7.57,0
"17p",0,0,0,99.89
"18p",95.72,0,0,0
"19p",0,0,0,0
"20p",45.74,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",100,0,0,0
"1q",97.62,0,1.71,2.83
"2q",0,0,0.43,0
"3q",0,0,11.72,12.08
"4q",99.92,0,0,0
"5q",100,0,0,0
"6q",0,0,0,0
"7q",100,0,0,0
"8q",0,0,100,0
"9q",99.98,0,0,0
"10q",0,0,98.2,0
"11q",0.41,0,0,0
"12q",0.48,0,0,0
"13q",0,0,100,0
"14q",98.92,0,0,0
"15q",0,0,99.79,0
"16q",0,0,100,0
"17q",0,0,0,4.76
"18q",99.99,0,0,0
"19q",0,0,0,0
"20q",2.82,0,0,0
"21q",12.62,0,0,0
"22q",8.12,0,0,0
"Yq",0,0,0,0
"Xq",100,0,0,6.8
