"","GAIN","AMPLI","LOSS","LOH"
"1p",0,0,97.28,0
"2p",0,0,81.84,0
"3p",5,0,66.78,0
"4p",0,0,100,0
"5p",0,0,0,0
"6p",0,0,0,0
"7p",0,0,100,0
"8p",18.76,0,80.86,63.37
"9p",0,0,0,0
"10p",0,0,0,0
"11p",95.78,0,0,18.83
"12p",0,0,29.91,0
"16p",9.47,0,0,12.41
"17p",0,0,100,0
"18p",0,0,90.61,0
"19p",0,0,95.81,0
"20p",0,0,100,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,99.81
"1q",3.38,0,55.55,0
"2q",0,0,100,0
"3q",0,0,21.79,0
"4q",0,0,99.92,0
"5q",0,0,36.47,0
"6q",0,0,0,0
"7q",0,0,84.81,0
"8q",100,0,0,100
"9q",19.3,0,0,0
"10q",0,0,84.95,0
"11q",0,0,100,0
"12q",3.57,0,78.88,0
"13q",62.69,0,0,8.24
"14q",0,0,0,0
"15q",0,0,0,0
"16q",9.4,0,0,0
"17q",0,0,99.96,0
"18q",0,0,98.59,0
"19q",0,0,94.36,0
"20q",99.81,0,0,0
"21q",0,0,100,0
"22q",0,0,100,0
"Yq",0,0,0,0
"Xq",0,0,0,100
